Loan_ID,Client_ID,Relationship_Manager,Loan_Type,Loan_Amount_EUR,Outstanding_Balance_EUR,Utilization_Rate_Pct,Interest_Rate_Pct,Origination_Date,Maturity_Date,Months_To_Maturity,Sector,Region,Credit_Rating,Days_Past_Due,Risk_Flag,KYC_Last_Review_Date,KYC_Status,Products_Used,Cross_Sell_Score
CORP0274_L1,CORP0274,RM_C,Term Loan,37920000.0,28491800.0,0.0,3.14,2025-04-16,2028-03-31,27,Real Estate,Nouvelle-Aquitaine,CCC,9,Grace Period,2025-11-18,Valid,"Revolving_Credit,Term_Loan",60
CORP0403_L3,CORP0403,RM_B,Revolving Credit,30530000.0,17368800.0,69.55,5.34,2023-03-30,2027-03-09,14,Manufacturing,Provence-Alpes-Côte d'Azur,BBB,0,Performing,2023-07-14,Expired,"Term_Loan,FX_Hedging",60
CORP0274_L1,CORP0274,RM_C,Term Loan,37460000.0,32892200.0,0.0,3.36,2022-08-21,2025-08-05,-5,Real Estate,Nouvelle-Aquitaine,CCC,60,Medium Risk,2025-11-18,Valid,"Revolving_Credit,Term_Loan",60
CORP0347_L3,CORP0347,RM_E,Revolving Credit,47890000.0,19476400.0,20.38,6.08,2022-08-02,2024-07-22,-18,Retail,Auvergne-Rhône-Alpes,BBB,0,Performing,2024-05-15,Valid,Cash_Management,80
CORP0276_L3,CORP0276,RM_C,Term Loan,15580000.0,13227100.0,0.0,6.38,2023-10-08,2025-09-27,-3,Real Estate,Provence-Alpes-Côte d'Azur,A,0,Performing,2023-12-14,Expired,"Trade_Finance,Term_Loan,Cash_Management,Revolving_Credit",20
CORP0263_L1,CORP0263,RM_B,Term Loan,9610000.0,7401000.0,0.0,6.53,2024-04-12,2026-04-02,3,Real Estate,Nouvelle-Aquitaine,B,0,Performing,2025-05-02,Valid,Trade_Finance,80
CORP0291_L1,CORP0291,RM_D,Revolving Credit,32410000.0,14386400.0,34.81,5.98,2021-12-06,2022-12-01,-38,Retail,Provence-Alpes-Côte d'Azur,B,0,Performing,2024-04-16,Valid,"FX_Hedging,Revolving_Credit",60
CORP0488_L2,CORP0488,RM_C,Revolving Credit,6850000.0,5434000.0,87.51,4.41,2025-02-19,2028-02-04,25,Real Estate,Occitanie,BBB,0,Performing,2025-03-28,Valid,"FX_Hedging,Cash_Management",60
CORP0231_L2,CORP0231,RM_A,Revolving Credit,34830000.0,17116700.0,91.9,3.51,2022-07-09,2025-06-23,-7,Retail,Occitanie,BBB,0,Performing,2025-05-09,Valid,"FX_Hedging,Cash_Management,Trade_Finance,Term_Loan",20
CORP0161_L1,CORP0161,RM_D,Term Loan,35750000.0,28046000.0,0.0,6.9,2024-02-23,2027-02-07,13,Technology,Hauts-de-France,BB,0,Performing,2023-12-09,Expired,Trade_Finance,80
CORP0450_L2,CORP0450,RM_A,Revolving Credit,22550000.0,19502600.0,68.42,2.99,2022-12-19,2027-11-23,23,Manufacturing,Provence-Alpes-Côte d'Azur,BBB,0,Performing,2024-07-14,Valid,FX_Hedging,80
CORP0144_L1,CORP0144,RM_D,Term Loan,13530000.0,12607300.0,0.0,2.61,2025-04-08,2032-03-02,75,Healthcare,Occitanie,BB,0,Performing,2024-03-19,Expiring Soon,"Cash_Management,FX_Hedging,Revolving_Credit,Term_Loan",20
CORP0260_L3,CORP0260,RM_D,Term Loan,40730000.0,30439200.0,0.0,5.81,2022-05-22,2024-05-11,-20,Real Estate,Occitanie,B,26,Watch List,2023-11-07,Expired,"Term_Loan,Revolving_Credit,Cash_Management,Trade_Finance",20
CORP0279_L3,CORP0279,RM_B,Revolving Credit,32870000.0,16079300.0,64.22,7.64,2023-07-01,2025-06-20,-7,Technology,Hauts-de-France,BBB,18,Watch List,2024-01-28,Expiring Soon,"Trade_Finance,FX_Hedging,Revolving_Credit",40
CORP0069_L2,CORP0069,RM_A,Term Loan,20140000.0,14124200.0,0.0,7.34,2021-12-24,2023-12-14,-25,Transportation,Auvergne-Rhône-Alpes,BBB,0,Performing,2024-08-18,Valid,"Trade_Finance,Term_Loan",60
CORP0315_L3,CORP0315,RM_D,Term Loan,37980000.0,18390800.0,0.0,5.89,2024-10-20,2026-10-10,9,Manufacturing,Provence-Alpes-Côte d'Azur,A,0,Performing,2024-04-14,Valid,Term_Loan,80
CORP0447_L1,CORP0447,RM_B,Revolving Credit,46990000.0,19935600.0,47.71,2.76,2022-12-18,2024-12-07,-13,Real Estate,Nouvelle-Aquitaine,AA,0,Performing,2025-09-17,Valid,"Cash_Management,Trade_Finance,FX_Hedging",40
CORP0106_L3,CORP0106,RM_E,Revolving Credit,19710000.0,18739100.0,44.31,6.72,2025-06-08,2026-06-03,5,Real Estate,Hauts-de-France,BB,3,Grace Period,2025-03-15,Valid,Cash_Management,80
CORP0267_L3,CORP0267,RM_C,Revolving Credit,41830000.0,23340700.0,69.03,4.69,2022-08-24,2027-07-29,19,Retail,Provence-Alpes-Côte d'Azur,A,0,Performing,2025-03-01,Valid,"Trade_Finance,Cash_Management",60
CORP0335_L1,CORP0335,RM_D,Revolving Credit,19130000.0,18065300.0,85.08,5.42,2022-10-20,2026-09-29,9,Energy,Nouvelle-Aquitaine,CCC,0,Performing,2024-02-18,Expiring Soon,Term_Loan,80
CORP0247_L3,CORP0247,RM_B,Term Loan,25340000.0,12248900.0,0.0,6.36,2024-10-07,2026-09-27,9,Healthcare,Nouvelle-Aquitaine,BB,0,Performing,2024-07-11,Valid,"Term_Loan,Cash_Management",60
CORP0109_L1,CORP0109,RM_E,Term Loan,8290000.0,6310400.0,0.0,7.37,2025-01-12,2031-12-07,72,Real Estate,Hauts-de-France,BBB,0,Performing,2024-02-29,Expiring Soon,"Revolving_Credit,Trade_Finance",60
CORP0369_L1,CORP0369,RM_E,Revolving Credit,33920000.0,23317000.0,50.82,3.96,2022-05-21,2024-05-10,-20,Manufacturing,Auvergne-Rhône-Alpes,BBB,0,Performing,2023-11-18,Expired,"Term_Loan,FX_Hedging,Cash_Management,Trade_Finance",20
CORP0066_L3,CORP0066,RM_B,Term Loan,7170000.0,5073400.0,0.0,4.05,2022-06-27,2024-06-16,-19,Manufacturing,Occitanie,AA,0,Performing,2023-11-04,Expired,"Revolving_Credit,Trade_Finance,FX_Hedging",40
CORP0093_L3,CORP0093,RM_E,Revolving Credit,30170000.0,22270400.0,81.6,8.18,2025-08-04,2032-06-28,79,Transportation,Provence-Alpes-Côte d'Azur,BB,0,Performing,2024-11-09,Valid,"Term_Loan,Revolving_Credit,Cash_Management,FX_Hedging",20
CORP0111_L2,CORP0111,RM_C,Revolving Credit,43430000.0,21816600.0,63.7,7.1,2023-05-24,2028-04-27,28,Manufacturing,Hauts-de-France,B,0,Performing,2023-07-02,Expired,FX_Hedging,80
CORP0320_L3,CORP0320,RM_B,Revolving Credit,8800000.0,7139900.0,37.24,4.81,2023-02-26,2028-01-31,25,Technology,Nouvelle-Aquitaine,BBB,0,Performing,2024-06-30,Valid,"FX_Hedging,Cash_Management,Trade_Finance,Revolving_Credit",20
CORP0056_L1,CORP0056,RM_B,Term Loan,26370000.0,24935600.0,0.0,3.56,2023-05-06,2025-04-25,-8,Transportation,Hauts-de-France,BB,0,Performing,2023-10-25,Expired,"Trade_Finance,Revolving_Credit,Term_Loan,Cash_Management",20
CORP0462_L3,CORP0462,RM_A,Term Loan,43950000.0,31593800.0,0.0,3.28,2025-01-14,2026-01-09,0,Financial Services,Auvergne-Rhône-Alpes,BBB,0,Performing,2023-04-06,Expired,"Revolving_Credit,Trade_Finance,FX_Hedging,Term_Loan",20
CORP0309_L3,CORP0309,RM_E,Term Loan,44900000.0,38835000.0,0.0,4.72,2022-01-21,2025-12-31,0,Retail,Hauts-de-France,B,0,Performing,2023-08-16,Expired,Cash_Management,80
CORP0023_L3,CORP0023,RM_B,Revolving Credit,11860000.0,10453200.0,75.6,7.07,2023-07-24,2026-07-08,6,Energy,Île-de-France,AA,0,Performing,2025-10-16,Valid,"Term_Loan,Revolving_Credit,Trade_Finance",40
CORP0357_L3,CORP0357,RM_A,Term Loan,21560000.0,11916400.0,0.0,7.76,2024-05-23,2025-05-18,-8,Energy,Nouvelle-Aquitaine,BB,0,Performing,2025-10-20,Valid,"Trade_Finance,Cash_Management,FX_Hedging",40
CORP0210_L2,CORP0210,RM_D,Term Loan,770000.0,651600.0,0.0,5.62,2025-08-28,2030-08-02,56,Healthcare,Auvergne-Rhône-Alpes,AAA,0,Performing,2023-11-25,Expired,"FX_Hedging,Revolving_Credit,Cash_Management,Term_Loan",20
